0	0 0 0 0 0 1978 2022 0 0 
1	0 0 0 235 243 1768 1132 622 0 
2	0 0 0 254 236 1800 1089 621 0 
3	0 0 0 0 858 1612 1122 408 0 
4	0 0 0 0 855 1602 1134 409 0 
5	0 0 0 0 844 1675 1084 397 0 
6	0 0 0 0 861 1658 1079 402 0 
7	0 0 614 401 0 741 1473 771 0 
8	0 0 317 396 244 744 1483 816 0 
9	0 0 0 0 0 999 970 2031 0 
10	0 0 0 0 0 1009 1969 1022 0 
11	0 0 0 0 0 1002 1985 1013 0 
12	0 0 0 0 0 1218 1769 1013 0 
13	0 0 0 0 0 1238 1760 1002 0 
14	0 0 0 0 0 1265 1732 1003 0 
15	0 0 0 0 0 1262 1731 1007 0 
16	0 0 0 0 0 1225 1744 1031 0 
17	0 0 0 0 0 1243 1754 1003 0 
18	0 0 0 0 0 1235 1756 1009 0 
19	0 0 0 0 0 1244 1720 1036 0 
20	0 0 0 0 0 1219 1749 1032 0 
21	0 0 0 0 0 1184 1777 1039 0 
22	0 0 0 0 0 1265 1715 1020 0 
23	0 0 0 0 0 1243 1745 1012 0 
24	0 0 0 0 0 1260 1732 1008 0 
25	0 0 0 0 0 1244 1729 1027 0 
26	0 0 0 0 0 1221 1744 1035 0 
27	0 0 0 0 0 1250 1732 1018 0 
28	0 0 0 0 0 1246 1745 1009 0 
29	0 0 0 0 0 1263 1723 1014 0 
30	0 0 0 0 0 1267 1713 1020 0 
31	0 0 0 0 0 1269 1707 1024 0 
32	0 0 0 0 0 1252 1746 1002 0 
33	0 0 0 0 0 1239 1746 1015 0 
34	0 0 0 0 0 1206 1741 1053 0 
35	0 0 0 0 0 1249 1718 1033 0 
36	0 0 0 0 0 1239 1697 1064 0 
37	0 0 0 0 0 1244 1747 1009 0 
38	0 0 0 0 0 1272 1718 1010 0 
39	0 0 0 0 0 1225 1723 1052 0 
40	0 0 0 0 0 1233 1752 1015 0 
41	0 0 0 0 0 1204 1751 1045 0 
42	0 0 0 0 0 1278 1722 1000 0 
43	0 0 0 0 0 1202 1783 1015 0 
44	0 0 0 0 0 1209 1782 1009 0 
45	0 0 0 0 0 1161 1813 1026 0 
46	0 0 0 0 0 1216 1780 1004 0 
47	0 0 0 0 0 1206 1754 1040 0 
48	0 0 0 0 0 1269 1710 1021 0 
49	0 0 0 0 0 1203 1749 1048 0 
50	0 0 0 0 0 1259 1714 1027 0 
51	0 0 0 0 0 1194 1716 1090 0 
52	0 0 0 0 0 1229 1736 1035 0 
53	0 0 0 0 0 1227 1736 1037 0 
54	0 0 0 0 0 1238 1758 1004 0 
55	0 0 0 0 0 1250 1739 1011 0 
56	0 0 0 0 0 1240 1757 1003 0 
57	0 0 0 0 0 1270 1695 1035 0 
58	0 0 0 0 0 1253 1708 1039 0 
59	0 0 0 0 0 1302 1694 1004 0 
60	0 0 0 0 0 1265 1731 1004 0 
61	0 0 0 0 0 1242 1741 1017 0 
62	0 0 0 0 0 1236 1744 1020 0 
63	0 0 0 0 0 1261 1729 1010 0 
64	0 0 0 0 0 1234 1755 1011 0 
65	0 0 0 0 0 1256 1710 1034 0 
66	0 0 0 0 0 1232 1722 1046 0 
67	0 0 0 0 0 1241 1729 1030 0 
68	0 0 0 0 0 1263 1710 1027 0 
